time,open,high,low,close,At the Money Balance,In the Money Balance,Average Return/src,Average Return,Bars Ago,Dividend,Number of trades,Net PnL Close to Open,total_div_percentage,Exit Trade,Enter Trade,Days passed from last dividend,Net PNL,PNL + Dividend,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Days left to dividend,Number of trades,Net PnL Close to Open,total_div_percentage,Enter Trade,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Basibgs,Upper,Lower,Closed below Band when SMA50&gt;SMA200,Closed below Band when SMA50&lt;SMA200,close[Number_Of_Days_Back]*(1-Drop_Percentage) ,Lost Trade from Purple,Lost Trade from Black,Close Above BB,Fisher,Zero Line,LinReg,Shapes,Shapes,Shapes,Shapes,Histogram,Bearish Divergence,Bullish Divergence,Accumulated Volume,Accumulated Volume At Top,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,%K,%D,"K/ema(K,Ratio_EMA_Length)",%D,%K,Shapes,Shapes,Plot,Bearish D win,Shapes,Shapes,Shapes,Shapes,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Close-Open,Plot,TSI Bar,TSI Line,TSI MA,Upper,Lower,New Hight,New Low,RSI(TSI),RSI(TSI)MA,Shapes,Shapes
2003-07-16T09:30:00-04:00,87.41,88.72,87.14999,88.14999,5881.053658931715,885.2979779098696,NaN,NaN,10,0.352885008,11,-6.520000000000001,4.28,NaN,0,15,NaN,-2.240000000000001,NaN,NaN,NaN,NaN,1205400,763820,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.9648930908028,87.20509190919722,0,0,87.46650949999999,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0194900399525264,NaN,NaN,NaN,NaN,NaN,-1351.2873215213156,NaN,NaN,-1351.2873215213156,-1543.5653960404989,NaN,NaN,NaN,NaN,NaN,NaN,69.28479736523795,180.71519315980453,NaN,NaN,NaN,NaN,NaN,NaN,180.71519315980453,NaN,69.28479736523795,NaN,NaN,1245.628508101735,1213.5038184421246,30.096613259442165,35.470577210723654,NaN,NaN,-0.32759904959007713,-0.06400000000000147,NaN,-0.27453933455616425,-4.685435613222411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-17T09:30:00-04:00,87.33,88.03999,87.17999,87.88,5998.674732110349,894.1509576889683,NaN,NaN,11,0.352885008,11,-6.520000000000001,4.28,NaN,0,16,NaN,-2.240000000000001,NaN,90.85291583333333,88.69391633333333,NaN,897000,775790,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.59230874357074,87.12268125642929,0,0,87.875,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7022434614785507,NaN,NaN,NaN,NaN,NaN,-1369.168370621406,NaN,NaN,-1369.168370621406,-1476.454665221948,NaN,NaN,NaN,NaN,NaN,NaN,62.11610817369416,151.15873755973635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1217.0122193916325,1214.2834630975708,29.165184543572593,34.665245294946914,NaN,NaN,-0.16803558602823898,-0.28799800000000175,NaN,-3.6097540447880063,-4.531766817731781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-18T09:30:00-04:00,87.64999,87.96001,87.44,87.7,6118.648226752556,903.092467265858,NaN,NaN,12,0.352885008,11,-6.520000000000001,4.28,NaN,0,17,NaN,-2.240000000000001,NaN,NaN,NaN,NaN,550800,762445,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.13864447226787,87.55134552773215,0,0,87.10549999999999,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5347934554357003,NaN,NaN,NaN,NaN,NaN,-1377.4382534887632,NaN,NaN,-1377.4382534887632,-1427.0575506929065,NaN,NaN,NaN,NaN,NaN,NaN,64.03795349051023,126.96735540442177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1178.549056442338,1206.3424838408523,28.527533389185507,33.917145984401415,NaN,NaN,-0.12839093402310198,-0.3219999999999999,NaN,-6.554870227302104,-4.820781590527542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-21T09:30:00-04:00,87.5,87.60001,85.64999,85.84,6124.941693500074,904.0213623750458,NaN,NaN,13,0.352885008,11,-6.520000000000001,4.28,NaN,0,20,NaN,-2.240000000000001,NaN,90.75999916666666,88.71341633333333,NaN,1267600,797740,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.75829256723053,86.02670243276951,0,1,87.324,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30619695737041486,NaN,NaN,NaN,NaN,NaN,-1385.835911048573,NaN,NaN,-1385.835911048573,-1436.2218564074326,NaN,NaN,NaN,NaN,NaN,NaN,55.05102409084379,108.21675062015474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1200.7123027028035,1205.0913324768414,22.91830149051016,32.560001727511626,NaN,NaN,-0.4068653096552737,-0.3400000000000006,NaN,-9.062747119165957,-5.426776666047315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-22T09:30:00-04:00,85.97,86.36,85.44,86.25999,6247.440527370075,913.0615759987962,NaN,NaN,14,0.352885008,11,-6.520000000000001,4.28,NaN,0,21,NaN,-2.240000000000001,NaN,NaN,NaN,NaN,1576900,835590,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.24730960536526,85.59268539463476,0,0,86.0700095,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.8630200645481887,NaN,NaN,NaN,NaN,NaN,-1386.9251127506757,NaN,NaN,-1386.9251127506757,-1393.4603229632908,NaN,NaN,NaN,NaN,NaN,NaN,61.50295832563352,94.2849756029289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.50295832563352,NaN,NaN,1219.2008684123948,1208.2267849069644,26.455640276992057,31.721775889022194,NaN,NaN,-0.28016434426341164,-0.27199800000000207,NaN,-10.162646501718104,-6.103329499714571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-23T09:30:00-04:00,86.8,87.05,86.39999,86.55,6354.395557596709,922.1921917587842,NaN,NaN,15,0.352885008,11,-6.520000000000001,4.28,NaN,0,22,NaN,-2.240000000000001,NaN,90.68291583333331,88.73716633333333,NaN,1374700,889680,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.62268268726115,85.55231231273888,0,0,85.51899999999999,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4873794311791837,NaN,NaN,NaN,NaN,NaN,-1387.4859635521473,NaN,NaN,-1387.4859635521473,-1390.8510683609773,NaN,NaN,NaN,NaN,NaN,NaN,70.70692926695597,85.44419943913142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1222.7418834517036,1211.4523623613509,28.896552532880364,30.940350049363975,NaN,NaN,-0.27467991803369785,-0.11599800000000186,NaN,-8.97618708159802,-6.51373772569792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-24T09:30:00-04:00,85.89999,86.08,85.55,85.78999,6473.3462907194535,931.414113676372,NaN,NaN,16,0.352885008,11,-6.520000000000001,4.28,NaN,0,23,NaN,-2.240000000000001,NaN,NaN,NaN,NaN,701100,874595,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.57921180762935,85.64077819237068,0,0,85.59500949999999,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8855354409651879,NaN,NaN,NaN,NaN,NaN,-1389.0124802536388,NaN,NaN,-1389.0124802536388,-1398.1715804625878,NaN,NaN,NaN,NaN,NaN,NaN,68.73135302153848,79.27451581410557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1177.5382292448544,1203.9158883354628,26.408209800183116,30.385325065059924,NaN,NaN,-0.24473811475485263,-0.08200199999999995,NaN,-7.595508500575774,-6.668276407823328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-25T09:30:00-04:00,85.98,86.62,85.39999,85.56,6571.191845958102,940.7282548131358,NaN,NaN,17,0.352885008,11,-6.520000000000001,4.28,NaN,0,24,NaN,-2.240000000000001,NaN,90.5689575,88.73849975,NaN,1273500,867080,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.62162016930216,85.45836983069785,0,0,85.87049999999999,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0204166951804563,NaN,NaN,NaN,NaN,NaN,-1397.5442606641761,NaN,NaN,-1397.5442606641761,-1448.7349431273997,NaN,NaN,NaN,NaN,NaN,NaN,62.16578328322847,74.12486219438912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1196.4485384556592,1202.256477251062,25.683165621170545,29.93311443278829,NaN,NaN,-0.2766039120721615,0.002001999999998816,NaN,-5.409416408101037,-6.488439265005858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-28T09:30:00-04:00,85.24001,85.28999,84.39999,84.41,6638.629827595645,950.1355373612671,NaN,NaN,18,0.352885008,11,-6.520000000000001,4.28,NaN,0,27,NaN,-2.240000000000001,NaN,NaN,NaN,NaN,1268500,893710,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.72826997834886,84.42672502165115,0,1,85.842,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8322045034758299,NaN,NaN,NaN,NaN,NaN,-1418.83007746483,NaN,NaN,-1418.83007746483,-1546.5449782687542,NaN,NaN,NaN,NaN,NaN,NaN,54.665243485857744,68.88033563574675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1191.6824724235423,1199.9066984005021,22.35802551370965,29.197867351276386,NaN,NaN,-0.3772232007863181,-0.02199600000000146,NaN,-3.931727531583631,-6.123194731659825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-29T09:30:00-04:00,84.17999,85.35001,83.25999,83.25999,6698.849084079592,958.7542519311068,NaN,NaN,19,0.352885008,11,-6.520000000000001,4.28,NaN,0,28,NaN,-2.240000000000001,NaN,90.40354062499999,88.70916633333333,NaN,2139300,973580,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.26867806625262,83.24131193374743,0,0,86.2504905,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5230669625615585,NaN,NaN,NaN,NaN,NaN,-1452.1412721783774,NaN,NaN,-1452.1412721783774,-1652.008440459662,NaN,NaN,NaN,NaN,NaN,NaN,42.627157142976806,63.899217771627896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1211.3693207010997,1202.453947800635,19.607867523607794,28.095385721222478,NaN,NaN,-0.47590989155243335,-0.09399799999999914,NaN,-3.5872957608335523,-5.760923450113214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-30T09:30:00-04:00,83.74001,84.72,83.57001,84.2,6832.826065761184,968.3417944504179,NaN,NaN,20,0.352885008,11,-6.520000000000001,4.28,NaN,0,29,NaN,-2.240000000000001,NaN,NaN,NaN,NaN,1963400,1049300,-1,11,-6.520000000000001,4.28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.58486441108485,83.13013058891516,0,0,85.2625,1,83.57001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19078472839750749,NaN,NaN,NaN,NaN,NaN,-1488.492332615687,NaN,NaN,-1488.492332615687,-1706.5986952395438,NaN,NaN,NaN,NaN,NaN,NaN,47.786899785078944,61.36566764299212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1216.9067098083758,1205.665672691244,27.504275096666632,27.566853359488224,NaN,NaN,-0.3057462749065394,-0.10599599999999895,NaN,-3.4515271435607473,-5.431009692034291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-31T09:30:00-04:00,83.69,83.71001,82.23,82.95,6909.06567599189,978.025212394922,NaN,NaN,21,0.352885008,11,-6.520000000000001,4.28,NaN,1,30,NaN,-2.240000000000001,NaN,90.25749874999998,88.69158300000001,NaN,4706398,1267679.9,-1,11,-6.520000000000001,4.28,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.62664616207147,82.78334883792857,0,0,83.2674905,1,82.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9734264197067501,NaN,NaN,NaN,NaN,NaN,-1522.7975468670186,NaN,NaN,-1522.7975468670186,-1728.6288323750077,NaN,NaN,NaN,NaN,NaN,NaN,51.20100855092272,59.87118456250717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.20100855092272,NaN,NaN,1255.3911930917523,1216.7157883358013,24.094858759401532,26.525239925138823,NaN,NaN,-0.3847014976508092,-0.07799400000000105,NaN,-2.968950813282645,-5.07928699506977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-08-01T09:30:00-04:00,82.10001,82.78999,81.98,82.50999,7047.246989511728,987.8054645188713,NaN,NaN,0,0.377985984,12,-7.540000000000001,4.74,81.98,0,0,NaN,-2.8000000000000007,NaN,NaN,NaN,NaN,3061200,1392784.9,0,12,-7.540000000000001,4.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.16030154225538,82.29968845774465,0,0,83.7424905,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.321085462267832,NaN,NaN,NaN,NaN,NaN,-1549.7244094532598,NaN,NaN,-1549.7244094532598,-1711.285584970707,NaN,NaN,NaN,NaN,NaN,NaN,47.450473295405445,58.255976098299165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1239.328420710094,1221.7408177523107,23.00728230648467,25.77024551365411,NaN,NaN,-0.2402139526233924,-0.2859940000000023,NaN,-5.166137266090407,-5.091694176644147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-08-04T09:30:00-04:00,82.48,83.22,82.35001,83.22,7188.191929301963,997.68351916406,NaN,NaN,1,0.377985984,12,-7.540000000000001,4.74,NaN,0,3,NaN,-2.8000000000000007,NaN,90.15708229166665,88.66616633333334,NaN,1858700,1462449.9,-1,12,-7.540000000000001,4.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.14994130881276,82.29005369118728,0,0,83.48599999999999,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10334398388767863,NaN,NaN,NaN,NaN,NaN,-1557.4687555922455,NaN,NaN,-1557.4687555922455,-1603.9348324261607,NaN,NaN,NaN,NaN,NaN,NaN,51.46618280080304,56.88531343949648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1211.8916857804752,1219.5521217585695,28.638032394433594,25.9543958934457,NaN,NaN,-0.06199323396459988,-0.22799400000000106,NaN,-6.131234551553061,-5.240199944488277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-08-05T09:30:00-04:00,83.21001,83.28999,81.8,82.03,7230.019253777553,1003.4889334727562,NaN,NaN,2,0.377985984,12,-7.540000000000001,4.74,NaN,0,4,NaN,-2.8000000000000007,NaN,NaN,NaN,NaN,2413000,1563619.9,-1,12,-7.540000000000001,4.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.35494238478717,82.00005261521287,0,0,83.315,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7824672075449435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1554.6710424566566,-1537.884763643122,NaN,NaN,NaN,NaN,NaN,NaN,48.89813279676982,55.86854610280999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1210.182857362431,1217.470063003872,25.281000536771913,25.610423556112107,NaN,NaN,-0.26526900960739397,-0.18399000000000285,NaN,-6.298327410807221,-5.391361011105269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-08-06T09:30:00-04:00,82.5,83.77,82.37,83.64999,7374.619638853104,1013.5238228074838,NaN,NaN,3,0.377985984,12,-7.540000000000001,4.74,NaN,0,5,NaN,-2.8000000000000007,NaN,90.08208208333332,88.65441625,NaN,2549700,1677584.9,-1,12,-7.540000000000001,4.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.7907045015611,81.91428549843891,0,0,81.548,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4200094245611234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1535.8694204749975,-1423.0596885850425,NaN,NaN,NaN,NaN,NaN,NaN,62.590982873952925,55.75724067076712,NaN,NaN,NaN,NaN,55.75724067076712,NaN,NaN,NaN,NaN,NaN,NaN,1223.183499880247,1218.7397156430663,36.294313167598176,26.119647029256793,NaN,NaN,-0.007949189678768676,-0.1859940000000023,NaN,-6.459200693056477,-5.543909537098299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
