,original,predict,direction,diff
54,0.835,0.8474538,1.0,-0.012453773021698034
55,1.0007,0.9266365,1.0,0.07406348295211784
56,0.8109,0.9342347,1.0,-0.12333467874526982
57,1.0223,0.7104397,1.0,0.31186031799316405
58,1.3182,1.0031575,1.0,0.3150425035476685
59,1.2492,1.2165388,1.0,0.03266121311187753
60,0.7093,1.1217862,1.0,-0.41248623676300045
61,0.2431,0.73950636,1.0,-0.4964063638687134
62,0.4817,0.21745,1.0,0.2642500071048737
63,0.571,0.37944695,1.0,0.19155304646492
64,1.825,0.48165703,1.0,1.3433429718017578
65,1.3252,1.7327224,1.0,-0.4075224016189576
66,2.2124,1.5043849,1.0,0.7080151247024538
67,1.6835,2.1345625,1.0,-0.4510624923706055
68,1.6476,1.6553665,1.0,-0.007766539955139207
69,2.1609,1.5709431,1.0,0.5899568828582762
70,2.6371,1.9674354,1.0,0.6696646400451662
71,2.2464,2.2808373,1.0,-0.03443729743957524
72,2.212,1.9011713,1.0,0.3108286733627321
73,2.1355,1.9477432,1.0,0.18775682258605952
74,2.2352,1.9773691,1.0,0.25783092994689927
75,2.5931,2.0564144,1.0,0.5366856342315676
76,2.2065,2.297925,1.0,-0.09142499542236315
77,2.9026,1.9556233,1.0,0.9469767309188843
78,2.8883,2.392329,1.0,0.4959710224151612
79,2.2511,2.4627216,1.0,-0.2116215862274169
80,1.8594,2.039046,1.0,-0.17964604911804205
81,0.2079,1.7000173,1.0,-1.4921173330307007
82,0.4734,0.13960218,1.0,0.3337978157043457
83,0.6613,0.27136284,1.0,0.389937158870697
84,1.1137,0.5694985,1.0,0.5442015206336974
85,0.9288,1.0633675,1.0,-0.13456748600006108
86,0.8788,0.97311264,1.0,-0.09431264276504514
87,0.5378,0.9105372,1.0,-0.3727371832847596
88,0.6722,0.4179439,1.0,0.25425610513687136
89,0.7525,0.69165224,1.0,0.06084776163101191
90,-0.057,0.8447088,-1.0,-0.901708800315857
91,0.1961,-0.07985643,-1.0,0.27595643297433853
92,-0.7043,0.21474525,-1.0,-0.9190452533245087
93,-0.2804,-0.77801937,1.0,0.49761936864852907
94,0.1706,-0.39937872,-1.0,0.5699787169456482
95,0.405,0.23435247,1.0,0.17064753055572512
96,0.6002,0.34092283,1.0,0.2592771675109863
97,1.2898,0.41942382,1.0,0.8703761814117432
98,0.7076,1.2148306,1.0,-0.5072306369781494
99,1.0614,1.1073208,1.0,-0.04592078552246104
100,0.6845,1.0094333,1.0,-0.3249332695007324
101,1.1899,0.38886225,1.0,0.8010377477645874
102,0.6319,0.9447892,1.0,-0.31288917121887205
103,1.3015,0.50970817,1.0,0.7917918338775636
104,1.7166,1.3473465,1.0,0.36925345573425283
105,1.4085,1.5478927,1.0,-0.13939268970489493
106,1.4615,1.3208131,1.0,0.1406869401931763
107,1.8333,1.396494,1.0,0.4368059690475463
108,1.9155,1.7597066,1.0,0.15579338359832762
109,2.1066,1.7327765,1.0,0.37382347736358623
110,1.3976,1.9786332,1.0,-0.5810331653594971
111,1.0208,1.244781,1.0,-0.22398101730346687
112,1.3038,0.9232418,1.0,0.3805582058906556
113,0.9117,1.2838846,1.0,-0.37218464450836186
114,1.4369,0.89592975,1.0,0.5409702462196351
115,1.1668,1.2615496,1.0,-0.09474959201812738
116,1.4478,1.1269128,1.0,0.32088716773986814
117,1.6572,1.239981,1.0,0.4172189447402954
118,1.6942,1.5154259,1.0,0.17877407951354973
119,1.8193,1.5313419,1.0,0.28795808963775626
120,1.9949,1.7019738,1.0,0.2929262041091918
121,1.8651,1.7906736,1.0,0.07442638645172117
122,1.9672,1.8310419,1.0,0.136158067893982
123,1.4937,1.8486623,1.0,-0.354962257194519
124,2.1013,1.3874279,1.0,0.7138720739364626
125,1.8594,1.8856308,1.0,-0.02623084602355963
126,1.7339,1.6968337,1.0,0.03706627025604248
127,1.746,1.4998361,1.0,0.24616391277313232
128,1.7336,1.5802077,1.0,0.15339229450225833
129,1.4111,1.5822262,1.0,-0.1711261571884155
130,1.4866,1.3085691,1.0,0.17803092632293693
131,1.5634,1.4240192,1.0,0.13938078250885
132,2.0026,1.4701372,1.0,0.5324627614974977
133,2.0195,1.7751489,1.0,0.24435113143920884
134,2.3243,1.8331448,1.0,0.4911552160263062
135,2.1967,2.053321,1.0,0.14337911529541003
136,2.2798,1.9836743,1.0,0.2961257122039793
137,1.8863,2.0182967,1.0,-0.13199671859741202
138,2.1089,1.657606,1.0,0.4512939943313601
139,2.4668,1.8314631,1.0,0.6353369014739991
140,0.9093,2.1034064,1.0,-1.1941064292907715
141,0.5456,0.862324,1.0,-0.31672399940490725
142,-0.5706,0.45909488,-1.0,-1.0296948820114136
143,0.1384,-0.61681646,-1.0,0.7552164610862732
144,-0.6706,-0.02512326,1.0,-0.6454767390847206
145,-0.7365,-0.5903258,1.0,-0.14617422723770146
146,-0.184,-0.5032832,1.0,0.31928320264816284
147,0.012,-0.24396071,-1.0,0.2559607083797455
148,-0.2501,0.125184,-1.0,-0.3752839995384216
149,-0.7686,-0.3158332,1.0,-0.45276678905487056
150,-1.6149,-0.6728672,1.0,-0.9420328210830688
151,-2.1247,-1.3323865,1.0,-0.7923135063171385
152,-1.4648,-1.903285,1.0,0.43848502655029287
153,-2.5349,-1.3290014,1.0,-1.2058985733032226
154,-2.1241,-2.131744,1.0,0.00764390792846692
155,-1.2864,-1.7753724,1.0,0.48897238597869874
156,-0.5686,-1.1935335,1.0,0.6249335397720337
157,-0.7665,-0.59573966,1.0,-0.17076033735275264
158,-0.4374,-0.5404446,1.0,0.10304461250305175
159,-0.1746,-0.18267542,1.0,0.008075421237945551
160,-0.5445,-0.04678283,1.0,-0.49771717113256453
161,0.1713,-0.61521333,-1.0,0.7865133345603943
162,-0.3812,0.059538677,-1.0,-0.44073867733478544
163,0.3415,-0.28049123,-1.0,0.6219912328720093
164,0.7412,0.35094458,1.0,0.39025542135238644
165,1.1528,0.91928464,1.0,0.23351535825729375
166,1.8968,1.1594316,1.0,0.7373684232711792
167,1.5588,1.8448943,1.0,-0.286094289970398
168,1.3227,1.5956322,1.0,-0.2729321954727173
