,original,predict,last_x,direction,diff
1165,195.29,420.37357,195.18,True,0.0
1166,194.62,339.32483,193.16,True,0.0
1167,193.78,386.03662,194.31,False,-0.9867048586987288
1168,191.1,223.71353,191.51,False,-0.16815587433627818
1169,190.15,39.170547,188.82,False,-0.7925508553895161
1170,187.35,-238.06337,183.51,False,-2.297277367723702
1171,180.73,-320.05157,182.38,True,0.0
1172,183.26,-369.98645,181.32,False,-3.040516491260272
1173,184.25,-180.04964,185.15,True,0.0
1174,188.26,-60.317276,187.32,False,-1.322001259881361
1175,186.49,-93.66667,185.34,False,-1.5053775318491944
1176,184.35,-182.29088,184.27,False,-1.989259664057624
1177,188.39,-121.19313,185.31,False,-1.6540021072428044
1178,182.76,-155.02249,183.11,True,0.0
1179,182.55,-132.82317,184.11,True,0.0
1180,185.48,12.43721,188.03,True,0.0
1181,188.43,66.68264,188.0,False,-0.6453051059804065
1182,186.97,140.99179,188.66,True,0.0
1183,188.63,127.72864,188.98,True,0.0
1184,188.02,96.00604,186.76,False,-0.48593894581029795
1185,182.07,-6.3747253,184.19,True,0.0
1186,184.82,0.609848,186.08,True,0.0
1187,184.43,7.3690796,183.84,False,-0.9599157985756976
1188,185.09,75.36817,187.37,True,0.0
1189,187.92,176.91093,188.94,True,0.0
1190,187.47,124.86679,186.26,False,-0.32961027181636215
1191,185.65,138.26355,187.43,True,0.0
1192,188.33,255.03857,190.39,False,-0.3395586649443249
1193,191.78,372.55383,192.03,False,-0.9400814091955033
1194,191.59,418.52664,192.18,False,-1.177784586563134
1195,191.19,322.07733,190.19,True,0.0
1196,190.64,386.2757,190.98,False,-1.022597632216888
1197,192.43,511.08862,193.64,False,-1.639375248124742
1198,193.23,481.96283,192.95,True,0.0
1199,192.54,415.1336,191.3,True,0.0
1200,191.68,430.45135,191.7,False,-1.245442644655549
1201,192.6,441.6057,192.2,True,0.0
1202,192.52,424.18372,192.86,False,-1.1994385347936973
1203,192.84,424.7165,193.11,False,-1.1993500683507778
1204,190.8,301.5739,190.36,True,0.0
1205,190.5,309.21942,191.37,False,-0.6158197282056683
1206,187.97,119.20408,187.79,False,-0.36522669644647526
1207,190.08,192.91374,189.87,True,0.0
1208,189.38,174.22585,189.7,True,0.0
1209,187.03,69.34479,187.75,True,0.0
1210,188.81,117.115005,189.54,True,0.0
1211,187.27,-20.999512,186.01,False,-1.1128945310399978
1212,184.05,-140.16618,184.07,True,0.0
1213,186.07,-35.839096,186.99,True,0.0
1214,188.81,54.18268,188.23,False,-0.7121464260603716
1215,188.24,47.901337,187.01,False,-0.7438568169086045
1216,185.42,14.765839,186.96,True,0.0
1217,187.23,2.4736328,187.25,True,0.0
1218,188.68,197.30774,190.8,False,-0.0341076481017426
1219,191.11,199.64519,190.82,True,0.0
1220,191.09,353.80103,191.65,False,-0.8460789219442995
1221,193.52,376.98834,192.88,True,0.0
1222,193.04,452.43872,194.18,False,-1.3299965017155473
1223,193.55,397.2141,193.26,True,0.0
1224,191.69,372.2876,192.65,False,-0.9324557366013495
1225,193.39,445.45764,194.06,False,-1.2954634731606849
1226,191.85,291.0108,191.43,True,0.0
1227,192.22,398.43884,193.62,False,-1.0578392871265236
1228,194.09,360.615,193.09,True,0.0
1229,195.64,536.7672,196.57,False,-1.7306669985962382
1230,197.57,566.73065,197.24,True,0.0
1231,196.04,536.0233,196.42,False,-1.7289650515715689
1232,196.99,520.89655,197.56,False,-1.6366498552852613
1233,197.08,524.2196,197.93,False,-1.6485101020168114
1234,198.87,568.7795,200.19,False,-1.8411982615538676
1235,200.1,553.45154,200.35,False,-1.7624234493932494
1236,200.21,518.92456,199.98,True,0.0
1237,199.76,522.18567,200.76,False,-1.6010443760973925
1238,200.43,474.71344,200.02,True,0.0
1239,201.23,438.91705,200.23,True,0.0
1240,200.96,456.73737,201.13,False,-1.2708564894479006
1241,201.54,436.419,200.84,True,0.0
1242,201.59,424.47614,200.83,True,0.0
1243,201.43,459.98138,202.61,False,-1.2702797703832176
1244,202.91,442.25388,202.61,True,0.0
1245,203.07,471.2279,203.84,False,-1.3117538524010866
1246,203.37,440.87115,202.85,True,0.0
1247,202.15,387.85132,201.94,True,0.0
1248,201.7,384.42865,202.17,False,-0.9015118459828054
1249,201.83,378.28113,202.67,False,-0.8664880245210812
1250,204.22,422.54886,204.32,False,-1.0680738970368937
1251,204.61,476.06958,205.13,False,-1.320818895715522
1252,206.04,483.55142,205.59,True,0.0
1253,205.1,449.4854,205.11,False,-1.1914358763475998
1254,203.0,235.69315,200.32,True,0.0
1255,201.41,292.70935,202.49,False,-0.44554965966683535
1256,202.43,305.91284,203.15,False,-0.5058471168933054
1257,202.83,365.54993,204.25,False,-0.7897181236612607
1258,205.0,416.59116,204.63,True,0.0
1259,204.07,393.70966,204.17,False,-0.9283423409987696
1260,203.9,385.9501,204.37,False,-0.8884870761842032
1261,204.98,385.41858,204.77,True,0.0
1262,206.51,523.08405,206.36,True,0.0
1263,207.19,669.5922,208.5,False,-2.211473496983663
1264,209.27,690.07996,209.5,False,-2.293937737731205
1265,209.39,676.1759,209.6,False,-2.226030073093094
1266,209.55,631.4418,209.64,False,-2.0120290615385303
1267,210.86,681.3159,211.81,False,-2.216637165236533
1268,211.71,677.7796,212.03,False,-2.1966212425165366
1269,211.81,639.6903,211.97,False,-2.0178341634060835
1270,211.92,617.25836,212.26,False,-1.9080295949138146
1271,213.79,656.53754,214.55,False,-2.0600677540018353
1272,213.61,598.9373,213.51,True,0.0
1273,212.21,494.76785,211.62,True,0.0
1274,212.61,546.34094,214.4,False,-1.548232007382521
1275,216.16,486.69946,213.29,True,0.0
1276,214.18,451.24005,212.49,True,0.0
1277,215.56,525.429,215.64,False,-1.4366027458415938
1278,215.53,500.27112,215.47,True,0.0
1279,217.15,586.4061,218.91,False,-1.678754410167135
1280,218.99,599.2106,219.76,False,-1.7266589519888174
1281,218.43,560.1264,219.31,False,-1.5540395048497275
1282,220.95,558.11584,220.75,True,0.0
1283,220.08,533.71814,220.18,False,-1.424008264367506
1284,220.17,535.3959,221.24,False,-1.4199777346928109
1285,222.28,584.35596,223.24,False,-1.6176131384664485
1286,223.38,544.6594,222.73,True,0.0
1287,223.28,584.0942,224.38,False,-1.6031472379271494
1288,223.87,552.3403,223.71,True,0.0
1289,224.59,569.05695,225.62,False,-1.5221919413207217
1290,222.7,338.46475,217.72,True,0.0
1291,218.1,361.63263,219.6,False,-0.6467788223794684
1292,221.45,409.01184,222.66,False,-0.8369345226817233
1293,221.81,343.33478,220.37,True,0.0
1294,222.6,448.50684,223.5,False,-1.006741995246085
1295,219.07,319.58444,220.14,False,-0.451732725259707
1296,222.38,472.2245,225.39,False,-1.0951439163436156
1297,227.47,649.216,230.22,False,-1.8199809026929403
1298,228.22,646.7511,228.77,False,-1.8270800307418478
1299,230.19,615.6466,229.16,True,0.0
1300,229.2,563.1044,228.43,True,0.0
1301,231.97,662.14075,233.21,False,-1.8392468036118197
1302,232.01,686.7632,233.34,False,-1.9431866957819062
1303,234.27,625.51306,232.62,True,0.0
1304,233.97,655.8839,234.28,False,-1.7995727810005657
1305,234.64,600.39343,233.47,True,0.0
1306,234.73,650.9975,236.07,False,-1.757646026850484
1307,236.98,634.27014,236.46,True,0.0
