,original,predict,last_x,direction,diff,,,,
338,207.85,206.74098,208.3,TRUE,0.000%,1.10902,0.53%,,
339,208.44,208.13155,208.65,TRUE,0.000%,0.30845,0.15%,,
340,208.1,208.3735,209.81,TRUE,0.000%,-0.2735,-0.13%,,
341,210.81,204.86554,203.63,TRUE,0.000%,5.94446,2.92%,,
342,203.13,204.15411,201.59,TRUE,0.000%,-1.02411,-0.51%,,
343,199.6,202.55666,201.48,FALSE,-0.534%,-2.95666,-1.47%,,
344,203.1997,202.73535,204.84,TRUE,0.000%,0.46435,0.23%,,
345,206.66,204.46547,207.21,TRUE,0.000%,2.19453,1.06%,,
346,209.475,206.01262,209.36,FALSE,-1.599%,3.46238,1.65%,,
347,209.9208,206.83363,208.95,FALSE,-1.013%,3.08717,1.48%,,
348,208.41,207.6724,207.83,FALSE,-0.076%,0.7376,0.35%,,
349,209.66,209.3712,209.87,TRUE,0.000%,0.2888,0.14%,,
350,209.526,209.97151,211.05,TRUE,0.000%,-0.44551,-0.21%,,
351,212.65,211.36594,213.19,TRUE,0.000%,1.28406,0.60%,,
352,213.4,212.19609,214.53,TRUE,0.000%,1.20391,0.56%,,
353,214.95,213.27997,215.44,TRUE,0.000%,1.67003,0.78%,,
354,214.92,214.60304,216.4,TRUE,0.000%,0.31696,0.15%,,
355,216.12,214.85435,216.78,TRUE,0.000%,1.26565,0.58%,,
356,215.83,214.60226,215.97,TRUE,0.000%,1.22774,0.57%,,
357,216.4092,214.9245,215.92,FALSE,-0.461%,1.4847,0.69%,,
358,216.19,215.17897,216.75,TRUE,0.000%,1.01103,0.47%,,
359,217.085,215.13675,216.96,FALSE,-0.840%,1.94825,0.90%,,
360,216.265,215.73587,216.41,TRUE,0.000%,0.52913,0.24%,,
361,217.24,215.97255,217,FALSE,-0.473%,1.26745,0.58%,,
362,216.65,216.09038,216.53,FALSE,-0.203%,0.55962,0.26%,,
363,216.75,216.21242,217.19,TRUE,0.000%,0.53758,0.25%,,
